Product Title,Price,Condition,Seller Rating (%),Seller Feedback Count,Item Country,Product URL
Motorola Moto Edge+ (2022) XT2201-3 Unlocked 512GB Cosmos Blue Good,199.99,Good - Refurbished,98.0,152834,US,https://www.ebay.com/itm/176503846119?_skw=smartphone+with+barometer&hash=item291872f4e7:g:PZMAAOSwERdmrVcw
NEW Sealed Samsung Galaxy S20+ Plus 5G SM-G986U 128GB Unlocked smartphone 6.7 in,204.39,New,98.2,266,US,https://www.ebay.com/itm/396415557884?_skw=smartphone+with+barometer&hash=item5c4c3560fc:g:g0EAAOSwnyNn80VH&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UaVF33oGauqPXL8HODLN39UcuWT36Wmr92P9Jw7yg0s0PD%2BnsfXXyR9L7c4A%2Fhde75a9Y%2FVSzDIb9SDeoND4WeQKybi5VGWvzQxZrCBpZOmWMQw7vdRYa1AeqjqQd2Ex9EYpIxFk3AoPe4H42r%2FTSHfra%2BTuVjdDG8N43kStwVyZKMfbrVi%2FdWIcM7eOQfl9WkmMx2y4qDr5C8ouwoaKgCKwxmIS9sE%2Ff%2BkEVysp5GPDFzVcV7Ix9plZlNQexipmlorjPCJLvIKITeXia8egdWEqpbYYsxSiuygN3um2drmjg%3D%3D
NEW-Sealed Samsung Galaxy S20+ PLUS 5G 128GB G986U GSM CDMA Unlocked Smartphone,206.09,New,98.6,465,US,https://www.ebay.com/itm/146508879137?_skw=smartphone+with+barometer&hash=item221c9c1521:g:3JkAAOSwPR1n90GD&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UaOZWEAmShRVNasWtC5eEjjib0oTWtOFCG%2BEVMmKDDNv6RRdnPLyk%2BIn%2BtTbGPhkVbcESbIHmIMJtuM%2BJseUYpursgsPSkTz9E%2FksNo%2FE%2FQFbatNPTNg9cZzcrZ%2Fbnv9aHfZ5PgPlzRcQl%2F6dC1HHSI8riQQxpUkVNHIUF6R2tuOpHriUFFNAuiBiI8hh%2B1XAQjamHB%2F9f2e05ugnKpLYT3VPNS1uBbuhvbBm%2BpNq1eJvcOULB4WgdVtErVQr5UbvahxOEtzlAIM7hiiA2NMM07PCvuF5bWYpW%2BEzRsDaXERQ%3D%3D
Apple iPhone 11 / 11 pro / 11 pro max  Unlocked 64GB 128GB 256GB - VERY GOOD,227.0,Used,95.5,20,CN,https://www.ebay.com/itm/356869419509?_skw=smartphone+with+barometer&hash=item53171331f5:g:Ua8AAOSwAVdoG0Vn
Samsung S10+ Plus G975U1 128gb Fully UNLOCKED AT&T Verizon T-Mobile EXCELLENT,227.88,Excellent - Refurbished,99.6,75195,US,https://www.ebay.com/itm/124482516629?_skw=smartphone+with+barometer&hash=item1cfbbc7695:g:1~kAAOSwr~hfNU2c
Samsung Galaxy S23 128GB S911U Unlocked with LCD Shadows - Used/Good,239.99,Used,100.0,208090,US,https://www.ebay.com/itm/365139863829?_skw=smartphone+with+barometer&hash=item5504082915:g:JioAAOSwYDZm9A~C&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZDb%2BDFQ63vYFUYIqGRMnZKp3By6RdIHzEL8bddPrBFbs4fnAJCG5p0SDLHBCl1QDL9mJIr9IcGmygcYVsfUTB2SNJrkce71Q5UWrjDVfnfk8LG4bZ9F39R%2FiJYbe0E1hRF0ueaASZlMirFbrVLcDjpLmSd7k828oFxA45j2Sua6%2FyML5kOJvebOimlRcmq9LY5GHxZkyumo7nIBqZb7mbNDiKppcHFCEsR1%2BvzlSUQUIBmTRUt5U8Kj0hcQZEuQut1p06CNaw7E6UCwrb9Zy2EGOdnMaNf%2Fwhke6Cjfp01BQ%3D%3D
APPLE IPHONE 8 UNLOCKED WITH FREE 15 Plan Sim With Activation,249.0,Open box,100.0,22,US,https://www.ebay.com/itm/388581215769?_skw=smartphone+with+barometer&hash=item5a793ece19:g:aucAAeSwSTJoTbpG&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY8qIU7NTxwYGf9k%2BhNRNvxujmegwpTVrd5I3QY24mhAJpiOj2u7CwQnVJDwlQLLMvhzl8k%2FN%2FiumyP%2B332hCuirN2E7lmBaxxafC4zgWt4Wnse2hhJmyytuNExqyLkNSTIeqIgJrtKgSkpNJeBtT8bYR9fyJxPUdAtiFTfy8epx6P0u4r%2BvEntILE3w0tdQ3r4tNIoFbhJ8CfsCfHciDO00W3%2FShgO%2F79NvGkY%2BZqQJ%2BV7GiF2I4pkecfDcKN7VP0gxhB8PiXBWLD7QN2cPyytn9dKdQD7zX1jEiQdSoP7ng%3D%3D
Samsung Galaxy Note 20 Ultra 5G N986U AT&T T-MOBILE Unlocked 128GB - Very Good,258.99,Very Good - Refurbished,98.1,145106,US,https://www.ebay.com/itm/313951860681?_skw=smartphone+with+barometer&hash=item4918fd37c9:g:q4MAAOSwm9diHv4M&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ua6oeuCKfoROh%2BtebNul0VPdm7JzY0Cp5v9DBLTjX2O4P2WPSsDm6lchSnpwsY%2BHbdYI9v%2FKvzNvct9glpQEh%2FZlc4fOoFZeat2a2%2BoimruvJwcuK9UeOd8t3C4QVRlfkZMPiWbxDMf%2FKLk69JmRd1pj43Tyc%2BvwMIUwsm3nWGy05egkOIjK9jm0eke5AdTRJBgDSbjiATdXmUYCquB8QmS9qyEJsN6MwKwZhfKgZmrFgzfl45nE4VPoTDS3WKuikST57Q057gExyT30ETA%2BpNDYLRRX8b%2BNuH30W7jikiSBA%3D%3D
Unlocked Factory Sealed Apple iPhone SE 2022 3rd Gen With 1Y Manufacter Warranty,268.88,New,100.0,260,US,https://www.ebay.com/itm/186591928047?_skw=smartphone+with+barometer&hash=item2b71bedeef:g:ilkAAeSwlX9n-S~v
Apple iPhone 14 - 128GB - Midnight (AT&T) Excellent Condition With Box,274.95,Used,99.0,42296,US,https://www.ebay.com/itm/187400672594?_skw=smartphone+with+barometer&hash=item2ba1f35552:g:0Z8AAOSwL4ZkcOnZ
Apple iPhone 12 Pro Max-128GB/256GB-All colors(Unlocked) Functional Powerful,297.0,Used,96.7,306,CN,https://www.ebay.com/itm/357258010803?_skw=smartphone+with+barometer&hash=item532e3ca0b3:g:7D8AAOSwmZZoUjJU
"Apple iPhone 14 6.1"" with 100% 🔋 Battery  Factory 🔓 Unlocked - 1 Year Warranty",398.5,Very Good - Refurbished,99.4,21788,US,https://www.ebay.com/itm/267207140409?_skw=smartphone+with+barometer&hash=item3e36c96439:g:OkkAAOSwon1n7tUH&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbTZGztr8sf56KLqspD%2B7EvHTUT6OP8SWbkFjtki0yWlUAHiQS2g4SlhoaElvCxZ%2BlLpf3ApHz%2FzslbjbnE0QhBHDSsdO3Se%2B5WhY7YtEk5VkYdMAOXKii%2ByGsVgUaahmkfVALP%2FKCrzvy6COsK5XMVqQAhX76G0cyji2T8HlFzIkqcpdacgzZ3nwmWQpILdJprroTlBkrIWl2g8EqWK%2BFmsh4QYVs%2BniptJhHQdfInXQz9GTEPlT75O87QDbSi2ihJZI0%2FihweYscjhqeZNwfnmgHNl4rC%2BbF%2F6hcnJ9jzjQ%3D%3D
"Motorola Moto Z2 Force Phone w/ Battery, Projector, Camera, Speaker attachments",400.0,Used,98.1,1277,US,https://www.ebay.com/itm/156861789280?_skw=smartphone+with+barometer&hash=item2485b0f460:g:Xp8AAOSwHAFn8bcp
Apple iPhone 12 Pro Max  512GB - Unlocked - Excellent Silver with Original Box,419.99,Used,97.3,2446,US,https://www.ebay.com/itm/297145844252?_skw=smartphone+with+barometer&hash=item452f45c21c:g:K4AAAOSwMx9n4cvv
Very Good Apple iPhone 13 Pro Max - 128GB/256GB/512GB - 6.7-inch (Unlocked),478.0,Used,95.5,20,CN,https://www.ebay.com/itm/357250992280?_skw=smartphone+with+barometer&hash=item532dd18898:g:qP4AAeSwwiVobTAi
Parts iPhones ,511.25,For parts or not working,100.0,23,CA,https://www.ebay.com/itm/317072556868?_skw=smartphone+with+barometer&hash=item49d2ff4344:g:CZUAAeSwFm9ob~OR
Apple iPhone 14 Pro Max-128GB/256 GB-All colors (Factory  Unlocked) So Amazing,593.47,Used,95.1,258,CN,https://www.ebay.com/itm/317029621470?_skw=smartphone+with+barometer&hash=item49d0701ede:g:Yc8AAOSwaaloVQAs
Apple iPhone 16 Pro - 128GB - Desert Titanium (AT&T/Cricket ONLY) Mint Condition,739.99,Used,97.2,6408,US,https://www.ebay.com/itm/127135023187?_skw=smartphone+with+barometer&hash=item1d99d68053:g:IpkAAeSwKdVoM3Zp
Brand New 2025 Google Pixel Unlocked From Verizon with original box ,900.0,New,100.0,4,US,https://www.ebay.com/itm/376324759811?_skw=smartphone+with+barometer&hash=item579eb42103:g:xnQAAeSwpnxoROOX
ASUS Zenfone 12 Ultra 16GB/512GB - Intnl - Not Compatible With US/UK Carriers,950.0,Open box,100.0,60,US,https://www.ebay.com/itm/167643224729?_skw=smartphone+with+barometer&hash=item2708509a99:g:qM0AAeSwbmtocrEW
