Product Title,Price,Condition,Seller Rating (%),Seller Feedback Count,Item Country,Product URL
Samsung Galaxy S10 128GB Verizon SM-G973U Prism Black DEFECTIVE B1124,59.95,For parts or not working,99.0,116816,US,https://www.ebay.com/itm/406037809846?_skw=smartphone+with+barometer&hash=item5e89bd4ab6:g:ZrgAAeSwDj5ocMsP
Sonim XP3 Plus XP3900 4G LTE 16GB - Verizon T-Mobile - Ultra Rugged Flip Phone,59.99,Used,97.2,6408,US,https://www.ebay.com/itm/126610999441?_skw=smartphone+with+barometer&hash=item1d7a9a8891:g:~4AAAOSwwhZmsRll
Nokia 6.1 TA-1045 Unlocked 32GB Black/Copper A,59.99,Used,98.0,152834,US,https://www.ebay.com/itm/187370527479?_skw=smartphone+with+barometer&hash=item2ba0275af7:g:MH0AAeSwJWRoXvdi
Motorola Moto G Power (2021) - Verizon - XT2117-4 64GB - Flash Gray,69.98,Open box,99.7,21085,US,https://www.ebay.com/itm/157018486539?_skw=smartphone+with+barometer&hash=item248f07f70b:g:IL8AAOSwAjdoMNxN
Samsung Galaxy S9+ SM-G965U Unlocked 64GB Lilac Purple A Extreme Burn,74.99,Used,98.0,152834,US,https://www.ebay.com/itm/186696504345?_skw=smartphone+with+barometer&hash=item2b77fa9419:g:8nUAAOSwU3Rm71ZI
AT&T Apple iPhone XR 64GB A1984 MT3M2LL/A Red,79.99,For parts or not working,99.1,209,US,https://www.ebay.com/itm/365726696448?_skw=smartphone+with+barometer&hash=item5527028400:g:yMkAAeSwy3loctIH
(Carrier Locked & Unlocked) Samsung Galaxy XCover Pro G715U 64GB Black - A GRADE,79.99,Used,98.8,6811,US,https://www.ebay.com/itm/146549056238?_skw=smartphone+with+barometer&hash=item221f0122ee:g:e88AAOSw6zxoDzTu
Samsung Galaxy S10 SM-G973U 128GB Prism Blue AT&T Only W052117,81.27,Used,97.1,28870,US,https://www.ebay.com/itm/267297348897?_skw=smartphone+with+barometer&hash=item3e3c29dd21:g:dUwAAeSw9S1oVXhF
Motorola G Play (2024)  - Unlocked -  Very Good Condition (1 Year Warranty),81.53,Very Good - Refurbished,99.0,3053,US,https://www.ebay.com/itm/156850023570?_skw=smartphone+with+barometer&hash=item2484fd6c92:g:LisAAOSwv0Rn7m8U
iPhone XR,84.89,Used,100.0,36,US,https://www.ebay.com/itm/388581237090?_skw=smartphone+with+barometer&hash=item5a793f2162:g:gBoAAeSwiJZoTbx4
"Original - Google Pixel 1st  (2016) Unlocked 32GB/128GB 5.0"" Blue/Black/Silver",85.0,Used,95.5,20,CN,https://www.ebay.com/itm/357279130832?_skw=smartphone+with+barometer&hash=item532f7ee4d0:g:P3sAAeSwoEpocyiC
Motorola Nexus 6 32GB Unlocked Smartphone Rooted KaliNethunter Pentest XT1103 Wh,85.0,Used,100.0,84,US,https://www.ebay.com/itm/376396258953?_skw=smartphone+with+barometer&hash=item57a2f71e89:g:Yf4AAeSw9xFocHAI
Samsung Galaxy S10e SM-G970U1 Unlocked 128GB Prism White C Light Burn,89.99,Used,98.0,152834,US,https://www.ebay.com/itm/196982748948?_skw=smartphone+with+barometer&hash=item2ddd163714:g:YlYAAOSwDQlnnBS6
Google Pixel 6a GX7AS 128GB Charcoal “DEMO”,90.0,For parts or not working,100.0,102,US,https://www.ebay.com/itm/357238584756?_skw=smartphone+with+barometer&hash=item532d1435b4:g:8eQAAeSwCtxoat9c
Motorola Moto G Stylus 5G (2024) w/128GB (Caramel Latte) Total Wireless,95.0,Open box,100.0,35,US,https://www.ebay.com/itm/357276119198?_skw=smartphone+with+barometer&hash=item532f50f09e:g:zHEAAeSwlJ5oceiW
NEW! Sonim XP3 Plus XP3900 Rugged Flip for T-Mobile with Belt Clip,98.5,Open box,99.4,21788,US,https://www.ebay.com/itm/256832649011?_skw=smartphone+with+barometer&hash=item3bcc6b3733:g:Md4AAOSwq1VnvjKc
Google Pixel 6a 128gb Smartphone With Cracked Screen In Right Corner.,100.0,For parts or not working,95.5,23,US,https://www.ebay.com/itm/226854345989?_skw=smartphone+with+barometer&hash=item34d1929d05:g:qesAAeSwXcVobGas
"IPhone 8 With TikTok Installed, 64GB, SIM Unlock",100.0,Open box,0.0,0,US,https://www.ebay.com/itm/335784680448?_skw=smartphone+with+barometer&hash=item4e2e539c00:g:OGMAAOSw4b9nlVIv
Apple iPhone SE 2nd Gen 64GB White Unlocked 89% Battery With Cables And Earbuds,100.0,Used,100.0,179,US,https://www.ebay.com/itm/136149266491?_skw=smartphone+with+barometer&hash=item1fb320f03b:g:h0cAAeSw1sJocsdT
Google Pixel 6a GX7AS Unlocked 128GB Charcoal C,104.85,Used,98.0,152834,US,https://www.ebay.com/itm/186586397485?_skw=smartphone+with+barometer&hash=item2b716a7b2d:g:QiMAAOSwBeBmn9Rp
Motorola Moto G (2024) 5G - Unlocked - Excellent Condition (1Year Warranty),109.52,Excellent - Refurbished,99.0,3053,US,https://www.ebay.com/itm/156945771187?_skw=smartphone+with+barometer&hash=item248ab26ab3:g:3QQAAOSwH2poAM5s
Samsung Galaxy S10 SM-G973U 128GB 6GB Sprint Unlocked Good -Light Shadow Screen,113.85,Used,99.0,466,US,https://www.ebay.com/itm/277246024574?_skw=smartphone+with+barometer&hash=item408d269b7e:g:zHUAAOSwjx1oEN87
Samsung GalaxyS10 SM-G973U 128GB 6GB VPO Unlocked Good - Light Shadow on Screen,113.85,Used,99.0,466,US,https://www.ebay.com/itm/277250002526?_skw=smartphone+with+barometer&hash=item408d634e5e:g:nVoAAeSwcjRoZGYF
Samsung Galaxy S10 | S10 Plus | S10e - 128GB | 512GB - (Unlocked) - Very Good,113.95,Very Good - Refurbished,99.0,4006,US,https://www.ebay.com/itm/266306270479?_skw=smartphone+with+barometer&hash=item3e0117350f:g:TpgAAOSwEjRkkfqo
Good 6/10 Samsung Galaxy S10 SM-G973U 128GB Prism Black Unlocked with Image Burn,114.99,Used,97.5,1598,US,https://www.ebay.com/itm/388381283545?_skw=smartphone+with+barometer&hash=item5a6d5414d9:g:ZfUAAOSw10VoG18n
Apple iPhone SE 2nd Gen 64GB  Factory Unlocked works only with Tmobile- OPEN BOX,115.25,Open box,96.9,3373,US,https://www.ebay.com/itm/396444457756?_skw=smartphone+with+barometer&hash=item5c4dee5b1c:g:V04AAOSwx2Zn-OYv
iPhone XS  - 64GB - Black  (Unlocked),116.86,Used,98.2,53,CA,https://www.ebay.com/itm/406038874517?_skw=smartphone+with+barometer&hash=item5e89cd8995:g:fs8AAeSw1sJocUXZ
Sonim XP8 - 64 GB - Black (As a part or use with Wifi),119.9,New,100.0,19,US,https://www.ebay.com/itm/316455614623?_skw=smartphone+with+barometer&hash=item49ae39789f:g:QQwAAOSw8jxnyiim
"UNLOCKED, PREOWNED Samsung Galaxy S20 5G Smartphone with Quad Camera",120.0,Used,100.0,8,US,https://www.ebay.com/itm/357267557558?_skw=smartphone+with+barometer&hash=item532ece4cb6:g:bNkAAeSwNSJocEnQ
Samsung Galaxy S20 Ultra 5G SM-G988U 128GB Unlocked LCD BURN With NICE GLASS,123.99,For parts or not working,98.1,920,US,https://www.ebay.com/itm/396849145563?_skw=smartphone+with+barometer&hash=item5c660d66db:g:HkcAAeSwi~RocUCF
Samsung Galaxy S10 SM-G973U AT&T Only 128GB Prism Black A,124.99,Used,98.0,152834,US,https://www.ebay.com/itm/186586574598?_skw=smartphone+with+barometer&hash=item2b716d2f06:g:clEAAOSw26pmn-uL
Google Pixel 6a - 128 GB - Charcoal - Great condition with no blemishes,125.0,Used,100.0,79,US,https://www.ebay.com/itm/286698095861?_skw=smartphone+with+barometer&hash=item42c089c4f5:g:rOMAAeSwDiNobt6B
Samsung Galaxy S10e SM-G970U Unlocked 128GB Prism Black,129.99,Open box,98.0,60364,US,https://www.ebay.com/itm/306287231784?_skw=smartphone+with+barometer&hash=item4750244328:g:TJMAAOSwtcxoFT69
Samsung Galaxy S20 S20+ S20 FE S20 Ultra 5G Unlocked Verizon T-Mobile AT&T Metro,130.46,Very Good - Refurbished,99.4,6296,US,https://www.ebay.com/itm/276346965314?_skw=smartphone+with+barometer&hash=item4057900d42:g:-XcAAOSwbaxl1jGN&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYZYberX3pAptftcsBDegqol2jwyVeLDhp9r4JzOlBdaJaPa3hvLJdVwSpZ6Ysc04iyEKMI6d%2B2PIgd07TmTJt%2FOOu2ys1wkeMUfP9y61Vsgf3xBVJMGRXMYRpW4LA1YjdpmXAw94nFyNN2Q4ChMxEsvGFttaVyfp3FOzYruMFNDYVzFSXSdNrboPfwlA4fvOESx2yXchwrDPpo8AvwU745xXn2KPeN%2FaoFDe3zrbzcVv6Pq93jJQPPC3jgYk2EJoHKtwmY0mzB9bKICYfZknp6GvbBuYcOs0%2FzgA2vGncPcA%3D%3D
Sonim XP10 XP9900 AT&T Only 128GB Black C,132.99,Used,98.0,152834,US,https://www.ebay.com/itm/196822689450?_skw=smartphone+with+barometer&hash=item2dd38be6aa:g:8C0AAOSw73RnOiu0
Samsung Galaxy Note 20 5G N981U GSM Unlocked 128GB Smartphone - Image Burn,144.99,Used,98.1,145106,US,https://www.ebay.com/itm/403885112947?_skw=smartphone+with+barometer&hash=item5e096dbe73:g:or4AAOSwA9ZhI3gz
Samsung Galaxy S20 Ultra 5G SM-G988U Unlocked 128GB Cosmic Gray C Extreme Burn,144.99,Used,98.0,152834,US,https://www.ebay.com/itm/196600317138?_skw=smartphone+with+barometer&hash=item2dc64ac4d2:g:zUgAAOSwHHJm1UFU
"Sonim XP8 XP8800 64GB 5"" Unlocked Rugged Smartphone with Direct Mode",149.95,Used,99.5,5247,US,https://www.ebay.com/itm/167582442516?_skw=smartphone+with+barometer&hash=item2704b12414:g:43cAAeSwXeVoM6ir
Samsung Galaxy S20 5G SM-G981V Verizon Only 128GB Cosmic Gray Very Good,149.99,Very Good - Refurbished,98.0,152834,US,https://www.ebay.com/itm/186920602195?_skw=smartphone+with+barometer&hash=item2b85560a53:g:G6EAAOSwzJpnnBQO
New Other Samsung Galaxy S10e Verizon Unlocked T-Mobile Straight Talk Boost Mint,150.39,Open box,98.7,4311,US,https://www.ebay.com/itm/176521555127?_skw=smartphone+with+barometer&hash=item2919812cb7:g:rLwAAOSw9qVhSet6&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYkdPZ8R2F2okM8p4gh77YYyU9Xyf6HWPv%2BtIntLC7EsiGgE0%2BYo7pJ9Szg2OaEhTqJWBjkSsWw%2FwcfWPICx5cLNb3SyqTUGRUPbICLN8kKc5OFnEXxWQ2wR9cY%2FhowYhl4Tzy%2F1zyxc%2FClG5hrqeY8%2Fcdx2pKi25bSb8RGStI8pObLodBnVAPJvRNztPe8nDwIz45jXhh3GGoex0feFmyJZnHyyHGeyr7PbRbGLjt2tFL8Kz%2BM1%2F0PGe6cfDEbjYlLqYkm64JoE8Hf58avx%2Bb1%2BtGUfoEVojvE7dl454Dn6w%3D%3D
APPLE IPHONE 12 - UNLOCKED - 128GB -A2172 WITH SCRATCHES,165.75,Used,98.3,19197,US,https://www.ebay.com/itm/127098665309?_skw=smartphone+with+barometer&hash=item1d97abb95d:g:cwMAAeSwCR9oZq3~
APPLE IPHONE 8 Unlocked CELL PHONE SMART PHONE COMES WITH SIM AND ACTIVATION,169.0,Open box,100.0,22,US,https://www.ebay.com/itm/388672467511?_skw=smartphone+with+barometer&hash=item5a7eaf3237:g:-FcAAeSwXopoaUmN&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UaZ3jzddExQsWa4coYpwNc3taJIABYZORMdgrsR%2F8Kq%2BSocedscpNwu%2FX6UhKHX26aO%2BCBaEsY6u2PiBfZcTendBdL7tGF2lviN2e4%2Ba2VSMGji8fULftQdInjNSL6bc0ejrka6I2PseLsPTmqVLT8VD4et5jmpB8UWqJ2vh3MezUJXao5kIIqK%2FXoV8gyyeGH80Z5HcPk99p6FToSurTx6vu5PR5xDX5Lz3g8D1W6vafSOXdtJhnPG9pJ5KqCZtEAVDXSd7X0j6KplcMsgtR6jmJ0yPAjgl7CgQcTkNC7QIw%3D%3D
Apple iPhone 12 A2172 Spectrum Only 128GB Black A-,174.99,Used,98.0,152834,US,https://www.ebay.com/itm/197370360194?_skw=smartphone+with+barometer&hash=item2df430b182:g:HrkAAeSwKQtoOOCu
New Other Samsung Galaxy S10 G973 Straight Talk Unlocked T-Mobile Boost Verizon,179.99,Open box,98.7,4311,US,https://www.ebay.com/itm/176581706838?_skw=smartphone+with+barometer&hash=item291d170456:g:HbgAAOSw2R9gfwYj
OnePlus Nord N30 CPH2515 Unlocked 128GB Chromatic Gray Sealed,182.0,New,98.8,8060,US,https://www.ebay.com/itm/406030914454?_skw=smartphone+with+barometer&hash=item5e89541396:g:v48AAeSw1JRobWMp
Samsung Galaxy S21 S21+ S21 Ultra 5G 128GB 256GB (Unlocked) - Very Good,184.45,Very Good - Refurbished,99.0,4006,US,https://www.ebay.com/itm/267207048642?_skw=smartphone+with+barometer&hash=item3e36c7fdc2:g:hT0AAOSwfnRm6w8I
Samsung Galaxy Note 20 5G - N981U - Fully Unlocked - 128GB - Mystic Gray,189.0,Used,100.0,461,US,https://www.ebay.com/itm/357267823479?_skw=smartphone+with+barometer&hash=item532ed25b77:g:rP0AAeSwQ-poYLv~
"GSM UNLOCKED SAMSUNG GALAXY S22, SM-S901U 128GB SMARTPHONE WITH NO SCREEN BURN",189.99,Used,100.0,8348,US,https://www.ebay.com/itm/388310916001?_skw=smartphone+with+barometer&hash=item5a69225ba1:g:LqMAAOSwyTZoCTju
Apple iPhone 12 - 64GB - Black A2172 - Unlocked - Works With Any Carrier,189.99,Used,98.0,497,US,https://www.ebay.com/itm/167594642538?_skw=smartphone+with+barometer&hash=item27056b4c6a:g:fpQAAOSw4xtn5~XX&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYStm44wr0ZNy0pTZ2mAu5tqjB3aX95aBvdvpSbOn2jgUxtJW%2BwH277PNKkwMLuaFheFyzXIwTyHXA2CMNBooaog9OLJmKOBmFRf4x7Kk7dHKjVhrxewIwseE1g0rmx37GJWm6Gbp%2Flf9YgTqMrYYYL9GR6NI7TRne%2BsfpR5mCzYRMEE8bDqKDwcWohX7gjNK7DyeK8%2FUG%2Bs6T81y8U8Kk%2BEObIOzT33asU3xB8PY%2F4Pl5MUX1OGFAbNsuWT5FEBWxTDDO5ZmpgqCekHHqCjM4FuXBjQWnybWoxanq58pVf4A%3D%3D
New Other Samsung Galaxy S10 G973U Unlocked Verizon T-Mobile AT&T Mint Boost,189.99,Open box,98.2,21577,US,https://www.ebay.com/itm/235606704450?_skw=smartphone+with+barometer&hash=item36db410142:g:7A8AAOSwvRBg7cAE&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYvgRLK1dFEr8Y%2BdhW%2Fy1MT%2BEKRrtQzZwEh6Jf86aeUA7KJOHWusKYfT81GsX6oflek4xeTBEMBIRAcMBu7mI0TNmNYfQ5WfYKqHUuFpHzAc9xLb0rM1HpkI4o8RPLTdSLy5iKwwb3i6FoYYdWzaDlqEXlaWmz7zRpO4L%2BQTniepfvQAKJGxXK7IJDRlUjYvNEwFsu5IDQZkPAiyCYexUsN2Z%2FezK3wQ2Cs5MSkKLp0FkqlYkOGDdP9OZf4cU%2BwXiRsgbT6omfyYpM%2B%2F3FkQaVUUYVyJhIB1DJf0s5jSHJ5%2Fg%3D%3D
Samsung Galaxy Note 20 5G N981U GSM Unlocked 128GB Smartphone - Very Good,189.99,Very Good - Refurbished,98.1,145106,US,https://www.ebay.com/itm/194969873264?_skw=smartphone+with+barometer&hash=item2d651c2b70:g:or4AAOSwA9ZhI3gz
Samsung Galaxy S10+ Plus Factory Unlocked AT&T Verizon T-Mobile Sprint Open Box,199.48,Excellent - Refurbished,99.6,75195,US,https://www.ebay.com/itm/114789287210?_skw=smartphone+with+barometer&hash=item1ab9f9852a:g:7~oAAOSwPMxlq~cT&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYyvHb3oU2XN4yNgCI%2FoOCjQq4n56U%2F2Xg64610U6KmSMJmEovPUrNzSgyPol4gA8H8kNmaPii%2FKfnLuk8187kg4A6mbTXnnixRazmkyId8i2OLzwh1t%2B9yFKd6OuIDI1dSip1zSHl8lxJdT2%2FEFW8v3fNrRG4N16HvZzSL1jECOxdgd3yZk0SlNTLaVh9RrxdOHRIy0BwB2zh%2F0iKoIKMUbeyOFUSAqKgJIjAHxMbqp%2BukTQQ6cFzPdhKN8fPWe7g83amEmKhEVq2LGy4DMbImN7dqCVlhJnzTeCWZ4qzr2g%3D%3D
Lot 5 Kyocera DuraForce Pro 2 E6910 Verizon 64GB Android Smartphone RESET READ !,199.99,Used,99.6,6047,US,https://www.ebay.com/itm/297271628860?_skw=smartphone+with+barometer&hash=item4536c5143c:g:xGAAAeSwH7xoFTOf
